
AROUND PUDDINGSTONE THE LAKE
40.58 MILES, 1347 ELEVATION GAIN

S 	PRIMROSE AV
L 	COLORADO BL
R 	SHAMROCK AV
L 	ROYAL OAKS DR
R 	LAS LOMAS
L	HUNTINGTON
C 	FOOTHILL (ROUTE66)
R 	N SAN DIMAS CANYON RD
L 	EAST BONITA AVE
R	E STREET
C	FAIRPLEX DR
R	McKINLEY AVE
	SLIGHT LEFT AT BONELLI PK TRAIL
C	FISHERMAN PARK RD
R	VIA VERDE
R	RAGING WATERS DR
L	SHARP LEFT ONTO PUDDINGSTONE DR
R	SAN DIMAS AVE
	COFFEE AT STARBUCKS ON THE
	CORNER OF BONITA
EAST	ON BONITA
L	CATARACT AVE
R	COVINA BLVD
L 	AZUSA AVE
R 	CYPRESS ST
L	AZUSA CANYON RD
R	LOS ANGELES ST
R	LOWER AZUSA RD (SLIGHT R)
R	ROSEGLEN ST
R	COGSWELL RD
L	SHARP LEFT RIO HONDO PKW
R	PECK RD
C 	MYRTLE
	ARRIVE AT VON'S PARKING LOT




	
